canonicalProductionIndex,productionGroup,batchIndex,bookCode,partCode,nodeCode,titleZhHans,canonicalQuestionKey,registryStatus,publicationState,mappingState
141,BATCH-009,4,BOOK-2,P6,KN-B2-P6-011,为什么共同 Runtime 必须开始分配运行成本,book-2-p6-11-relational-load,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
142,BATCH-009,5,BOOK-2,P6,KN-B2-P6-012,为什么长期系统一定开始出现结构冲突,book-2-p6-12-conflict-formation,planned,UNPUBLISHED,MAPPING_NOT_ESTABLISHED
143,BATCH-009,6,BOOK-2,P6,KN-B2-P6-013,共同 Reality 为什么需要形成边界,book-2-p6-13-boundary-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
144,BATCH-009,7,BOOK-2,P6,KN-B2-P6-014,为什么边界一直改变,book-2-p6-14-boundary-transition,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
145,BATCH-009,8,BOOK-2,P6,KN-B2-P6-015,为什么边界最终瓦解,book-2-p6-15-boundary-collapse,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
146,BATCH-009,9,BOOK-2,P6,KN-B2-P6-016,为什么 Runtime 会开始降低独立性,book-2-p6-16-runtime-dependency,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
147,BATCH-009,10,BOOK-2,P6,KN-B2-P6-017,为什么 Runtime 会开始固定连接,book-2-p6-17-attachment-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
148,BATCH-009,11,BOOK-2,P6,KN-B2-P6-018,整个共同 Runtime 如何持续改变,book-2-p6-18-runtime-evolution,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
149,BATCH-009,12,BOOK-2,P6,KN-B2-P6-019,为什么多个共同现实开始彼此连接,book-2-p6-19-reality-network,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
150,BATCH-009,13,BOOK-2,P6,KN-B2-P6-020,为什么不同共同现实维持参与平衡,book-2-p6-20-participation-balance,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
151,BATCH-009,14,BOOK-2,P6,KN-B2-P6-021,为什么不同共同现实开始承担不同责任,book-2-p6-21-responsibility-distribution,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
152,BATCH-009,15,BOOK-2,P6,KN-B2-P6-022,为什么运行负荷开始跨共同现实重新分配,book-2-p6-22-system-load-distribution,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
153,BATCH-009,16,BOOK-2,P6,KN-B2-P6-023,为什么现实生态必须承担整体成本,book-2-p6-23-structural-cost,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
154,BATCH-009,17,BOOK-2,P6,KN-B2-P6-024,为什么多个共同现实能够长期稳定共存,book-2-p6-24-ecological-stability,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
155,BATCH-009,18,BOOK-2,P6,KN-B2-P6-025,生命为什么需要共同形成下一代,book-2-p6-25-reproductive-relationship,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
156,BATCH-009,19,BOOK-2,P6,KN-B2-P6-026,为什么长期关系能够稳定形成,book-2-p6-26-pair-bond-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
157,BATCH-009,20,BOOK-2,P6,KN-B2-P6-027,为什么共同养育会形成新的 Runtime,book-2-p6-27-parenting-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
158,BATCH-009,21,BOOK-2,P6,KN-B2-P6-028,为什么孩子会成为新的 Runtime,book-2-p6-28-child-runtime-reading,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
159,BATCH-009,22,BOOK-2,P6,KN-B2-P6-029,为什么 Runtime 会跨世代延续,book-2-p6-29-generational-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
160,BATCH-009,23,BOOK-2,P6,KN-B2-P6-030,家庭模式为什么不断复制,book-2-p6-30-generational-projection,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
161,BATCH-009,24,BOOK-2,P6,KN-B2-P6-031,Runtime 如何在世代之间改变,book-2-p6-31-intergenerational-transition,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
162,BATCH-010,1,BOOK-2,P6,KN-B2-P6-032,Family 如何形成长期稳定系统,book-2-p6-32-family-stabilization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
163,BATCH-010,2,BOOK-2,P6,KN-B2-P6-033,情绪如何在家庭 Runtime 中流动,book-2-p6-33-emotional-flow,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
164,BATCH-010,3,BOOK-2,P6,KN-B2-P6-034,家庭成员如何形成共同节奏,book-2-p6-34-family-synchronization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
165,BATCH-010,4,BOOK-2,P6,KN-B2-P6-035,家庭 Runtime 如何重新配置,book-2-p6-35-family-reconfiguration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
166,BATCH-010,5,BOOK-2,P6,KN-B2-P6-036,家庭 Runtime 为什么会瓦解,book-2-p6-36-family-collapse,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
167,BATCH-010,6,BOOK-2,P6,KN-B2-P6-037,为什么多个家庭会形成群体,book-2-p6-37-group-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
168,BATCH-010,7,BOOK-2,P6,KN-B2-P6-038,群体如何形成社区运行,book-2-p6-38-community-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
169,BATCH-010,8,BOOK-2,P6,KN-B2-P6-039,群体如何形成共享身份,book-2-p6-39-shared-identity,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
170,BATCH-010,9,BOOK-2,P6,KN-B2-P6-040,为什么共同现实会不断彼此强化,book-2-p6-40-collective-synchronization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
171,BATCH-010,10,BOOK-2,P6,KN-B2-P6-041,群体为什么走向两极化,book-2-p6-41-collective-polarization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
172,BATCH-010,11,BOOK-2,P6,KN-B2-P6-042,现实影响如何形成,book-2-p6-42-influence-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
173,BATCH-010,12,BOOK-2,P6,KN-B2-P6-043,注意力如何在多个 Runtime 之间耦合,book-2-p6-43-attention-coupling,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
174,BATCH-010,13,BOOK-2,P6,KN-B2-P6-044,信念如何在多个 Runtime 之间耦合,book-2-p6-44-belief-coupling,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
175,BATCH-010,14,BOOK-2,P6,KN-B2-P6-045,为什么共同运行会不断重复同一个故事,book-2-p6-45-narrative-coupling,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
176,BATCH-010,15,BOOK-2,P6,KN-B2-P6-046,群体暗示如何改变 Reality,book-2-p6-46-collective-suggestion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
177,BATCH-010,16,BOOK-2,P6,KN-B2-P6-047,符号如何形成关系影响,book-2-p6-47-symbolic-influence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
178,BATCH-010,17,BOOK-2,P6,KN-B2-P6-048,为什么共同运行会逐渐限制生命的运行方向,book-2-p6-48-relationship-deadlock,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
179,BATCH-010,18,BOOK-2,P6,KN-B2-P6-049,一个 Runtime 如何劫持另一个 Runtime,book-2-p6-49-runtime-hijacking,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
180,BATCH-010,19,BOOK-2,P6,KN-B2-P6-050,Runtime 如何从关系影响中恢复,book-2-p6-50-influence-recovery,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
181,BATCH-010,20,BOOK-2,P6,KN-B2-P6-056,Runtime 如何离开共同 Reality,book-2-p6-56-exit-dynamics,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
182,BATCH-010,21,BOOK-2,P6,KN-B2-P6-057,共同 Reality 如何留下共享记忆,book-2-p6-57-shared-memory,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
183,BATCH-010,22,BOOK-2,P6,KN-B2-P6-058,共同 Reality 如何完成一次运行,book-2-p6-58-shared-reality-closure,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
184,BATCH-010,23,BOOK-2,P7,KN-B2-P7-001,集体场为何出现,book-2-p7-01-collective-field,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
185,BATCH-010,24,BOOK-2,P7,KN-B2-P7-002,为何多人会相信同一个现实,book-2-p7-02-shared-projection,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
186,BATCH-011,1,BOOK-2,P7,KN-B2-P7-003,为何故事能够形成共同现实,book-2-p7-03-narrative-synchronization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
187,BATCH-011,2,BOOK-2,P7,KN-B2-P7-004,情绪如何跨个体传播,book-2-p7-04-collective-emotion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
188,BATCH-011,3,BOOK-2,P7,KN-B2-P7-005,群体如何形成我们,book-2-p7-05-collective-identity,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
189,BATCH-011,4,BOOK-2,P7,KN-B2-P7-006,集体为什么开始约束个体,book-2-p7-06-collective-pressure,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
190,BATCH-011,5,BOOK-2,P7,KN-B2-P7-007,价值为何出现,book-2-p7-07-value-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
191,BATCH-011,6,BOOK-2,P7,KN-B2-P7-008,价值如何形成排序,book-2-p7-08-value-hierarchy,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
192,BATCH-011,7,BOOK-2,P7,KN-B2-P7-009,资源为何被压缩,book-2-p7-09-resource-compression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
193,BATCH-011,8,BOOK-2,P7,KN-B2-P7-010,稀缺性如何形成,book-2-p7-10-scarcity-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
194,BATCH-011,9,BOOK-2,P7,KN-B2-P7-011,社会奖励机制如何形成,book-2-p7-11-social-reward-systems,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
195,BATCH-011,10,BOOK-2,P7,KN-B2-P7-012,为什么集体会通过未来回报组织现在的行动,book-2-p7-12-collective-incentive-structures,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
196,BATCH-011,11,BOOK-2,P7,KN-B2-P7-013,模因如何运行,book-2-p7-13-memetic-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
197,BATCH-011,12,BOOK-2,P7,KN-B2-P7-014,文化如何运行,book-2-p7-14-cultural-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
198,BATCH-011,13,BOOK-2,P7,KN-B2-P7-015,资源如何流动,book-2-p7-15-economic-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
199,BATCH-011,14,BOOK-2,P7,KN-B2-P7-016,价值如何储存,book-2-p7-16-value-storage,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
200,BATCH-011,15,BOOK-2,P7,KN-B2-P7-017,信用如何创造现实,book-2-p7-17-credit-creation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
201,BATCH-011,16,BOOK-2,P7,KN-B2-P7-018,债务如何扩张,book-2-p7-18-debt-expansion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
202,BATCH-011,17,BOOK-2,P7,KN-B2-P7-019,资本如何被配置,book-2-p7-19-capital-allocation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
203,BATCH-011,18,BOOK-2,P7,KN-B2-P7-020,金融叙事如何形成,book-2-p7-20-financial-narratives,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
204,BATCH-011,19,BOOK-2,P7,KN-B2-P7-021,投机周期如何形成,book-2-p7-21-speculative-cycles,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
205,BATCH-011,20,BOOK-2,P7,KN-B2-P7-022,金融如何压缩未来,book-2-p7-22-financial-compression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
206,BATCH-011,21,BOOK-2,P7,KN-B2-P7-023,未来为何被提前提取,book-2-p7-23-future-extraction,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
207,BATCH-011,22,BOOK-2,P7,KN-B2-P7-024,制度如何稳定现实,book-2-p7-24-institutional-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
208,BATCH-011,23,BOOK-2,P7,KN-B2-P7-025,信息如何成为文明运行结构,book-2-p7-25-information-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
209,BATCH-011,24,BOOK-2,P7,KN-B2-P7-026,媒体如何组织集体现实,book-2-p7-26-media-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
210,BATCH-012,1,BOOK-2,P7,KN-B2-P7-027,平台如何组织集体现实,book-2-p7-27-platform-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
211,BATCH-012,2,BOOK-2,P7,KN-B2-P7-028,网络如何形成文明连接,book-2-p7-28-network-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
212,BATCH-012,3,BOOK-2,P7,KN-B2-P7-029,基础设施如何承载文明,book-2-p7-29-infrastructure-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
213,BATCH-012,4,BOOK-2,P7,KN-B2-P7-030,文明如何形成集体神经网络,book-2-p7-30-collective-neural-networks,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
214,BATCH-012,5,BOOK-2,P7,KN-B2-P7-031,注意力如何成为经济资源,book-2-p7-31-attention-economy,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
215,BATCH-012,6,BOOK-2,P7,KN-B2-P7-032,注意力如何被竞争,book-2-p7-32-attention-competition,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
216,BATCH-012,7,BOOK-2,P7,KN-B2-P7-033,叙事如何形成市场,book-2-p7-33-narrative-markets,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
217,BATCH-012,8,BOOK-2,P7,KN-B2-P7-034,集体注意力回路如何形成,book-2-p7-34-collective-attention-loops,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
218,BATCH-012,9,BOOK-2,P7,KN-B2-P7-035,注意力如何被捕获,book-2-p7-35-attention-capture,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
219,BATCH-012,10,BOOK-2,P7,KN-B2-P7-036,算法如何放大集体现实,book-2-p7-36-algorithmic-amplification,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
220,BATCH-012,11,BOOK-2,P7,KN-B2-P7-037,病毒式传播如何运行,book-2-p7-37-viral-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
221,BATCH-012,12,BOOK-2,P7,KN-B2-P7-038,AI 如何重构注意力架构,book-2-p7-38-ai-attention-architecture,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
222,BATCH-012,13,BOOK-2,P7,KN-B2-P7-039,文明如何压缩时间,book-2-p7-39-temporal-compression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
223,BATCH-012,14,BOOK-2,P7,KN-B2-P7-040,加速如何成为文明运行方式,book-2-p7-40-acceleration-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
224,BATCH-012,15,BOOK-2,P7,KN-B2-P7-041,生产力如何组织时间,book-2-p7-41-productivity-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
225,BATCH-012,16,BOOK-2,P7,KN-B2-P7-042,文明为何持续面向未来,book-2-p7-42-future-orientation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
226,BATCH-012,17,BOOK-2,P7,KN-B2-P7-043,世代如何形成不同时间尺度,book-2-p7-43-generational-time,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
227,BATCH-012,18,BOOK-2,P7,KN-B2-P7-044,历史如何成为集体记忆,book-2-p7-44-historical-memory,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
228,BATCH-012,19,BOOK-2,P7,KN-B2-P7-045,文明为何形成期限,book-2-p7-45-civilization-deadline,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
229,BATCH-012,20,BOOK-2,P7,KN-B2-P7-046,时间债务如何形成,book-2-p7-46-time-debt,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
230,BATCH-012,21,BOOK-2,P7,KN-B2-P7-047,人工集体如何运行,book-2-p7-47-artificial-collective-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
231,BATCH-012,22,BOOK-2,P7,KN-B2-P7-048,人机集体如何形成,book-2-p7-48-human-ai-collective,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
232,BATCH-012,23,BOOK-2,P7,KN-B2-P7-049,AI 文化如何形成,book-2-p7-49-synthetic-culture,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
233,BATCH-012,24,BOOK-2,P7,KN-B2-P7-050,AI 价值系统如何形成,book-2-p7-50-synthetic-value-systems,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
234,BATCH-013,1,BOOK-2,P7,KN-B2-P7-051,AI 如何形成协调机制,book-2-p7-51-synthetic-coordination,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
235,BATCH-019,1,BOOK-4,P11,KN-B2-P7-052,AI 文明雏形如何出现,book-2-p7-52-synthetic-civilization,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
236,BATCH-013,2,BOOK-2,P7,KN-B2-P7-053,集体现实如何达到饱和,book-2-p7-53-collective-saturation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
237,BATCH-013,3,BOOK-2,P7,KN-B2-P7-054,集体现实如何碎裂,book-2-p7-54-collective-fragmentation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
238,BATCH-013,4,BOOK-2,P7,KN-B2-P7-055,集体现实如何崩塌,book-2-p7-55-collective-collapse,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
239,BATCH-013,5,BOOK-2,P7,KN-B2-P7-056,为什么旧的集体结构失效之后，现实会重新形成新的连接、边界与组织方式,book-2-p7-56-collective-reconfiguration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
240,BATCH-019,2,BOOK-4,P10,KN-B2-P7-057,文明如何进入下一阶段,book-2-p7-57-civilization-threshold,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
241,BATCH-014,1,BOOK-3,P8,KN-B2-P8-001,运行为何留下残留,book-2-p8-01-residual-load,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
242,BATCH-014,2,BOOK-3,P8,KN-B2-P8-002,Reality 为什么不会自动归零,book-2-p8-02-runtime-accumulation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
243,BATCH-014,3,BOOK-3,P8,KN-B2-P8-003,过去为何持续存在,book-2-p8-03-runtime-persistence,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
244,BATCH-014,4,BOOK-3,P8,KN-B2-P8-004,Reality 如何偏离原有轨道,book-2-p8-04-drift-formation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
245,BATCH-014,5,BOOK-3,P8,KN-B2-P8-005,Reality 如何逐渐变形,book-2-p8-05-distortion-formation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
246,BATCH-014,6,BOOK-3,P8,KN-B2-P8-006,为何问题长期存在,book-2-p8-06-chronic-runtime,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
247,BATCH-014,7,BOOK-3,P8,KN-B2-P8-007,Reality 如何失去整体性,book-2-p8-07-fragmentation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
248,BATCH-014,8,BOOK-3,P8,KN-B2-P8-008,为何系统无法继续承载,book-2-p8-08-saturation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
249,BATCH-014,9,BOOK-3,P8,KN-B2-P8-009,摩擦如何成为警告信号,book-2-p8-09-friction-signals,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
250,BATCH-014,10,BOOK-3,P8,KN-B2-P8-010,重复模式如何成为警告,book-2-p8-10-repetition-patterns,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
251,BATCH-014,11,BOOK-3,P8,KN-B2-P8-011,慢性噪音如何形成,book-2-p8-11-chronic-noise,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
252,BATCH-014,12,BOOK-3,P8,KN-B2-P8-012,失稳如何逐步升级,book-2-p8-12-escalation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
253,BATCH-014,13,BOOK-3,P8,KN-B2-P8-013,系统如何跨越失稳阈值,book-2-p8-13-threshold-crossing,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
254,BATCH-014,14,BOOK-3,P8,KN-B2-P8-014,为何系统持续警告却无人察觉,book-2-p8-14-signal-blindness,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
255,BATCH-014,15,BOOK-3,P8,KN-B2-P8-015,Reality 如何持续占用资源,book-2-p8-15-interface-occupancy,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
256,BATCH-014,16,BOOK-3,P8,KN-B2-P8-016,为何系统无法退出运行,book-2-p8-16-interface-saturation,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
257,BATCH-014,17,BOOK-3,P8,KN-B2-P8-017,为何成本最终进入载体,book-2-p8-17-structural-cost-transfer,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
258,BATCH-014,18,BOOK-3,P8,KN-B2-P8-018,载体限制如何约束运行,book-2-p8-18-embodied-constraints,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
259,BATCH-014,19,BOOK-3,P8,KN-B2-P8-019,为何没有崩溃却无法顺畅运行,book-2-p8-19-soft-interruptions,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
260,BATCH-014,20,BOOK-3,P8,KN-B2-P8-020,慢性运行状态如何形成,book-2-p8-20-chronic-runtime-states,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
261,BATCH-014,21,BOOK-3,P8,KN-B2-P8-021,责任如何转化为运行成本,book-2-p8-21-responsibility-mapping,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
262,BATCH-014,22,BOOK-3,P8,KN-B2-P8-022,运行接口如何组织,book-2-p8-22-interface-architecture,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
263,BATCH-014,23,BOOK-3,P8,KN-B2-P8-023,Medical OS 如何成为 Runtime Maintenance Layer,book-2-p8-23-medical-runtime,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
264,BATCH-014,24,BOOK-3,P8,KN-B2-P8-024,系统如何检测安全,book-2-p8-24-safety-detection,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
265,BATCH-015,1,BOOK-3,P8,KN-B2-P8-025,恢复许可如何形成,book-2-p8-25-recovery-permission,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
266,BATCH-015,2,BOOK-3,P8,KN-B2-P8-026,为何系统拒绝恢复,book-2-p8-26-recovery-resistance,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
267,BATCH-015,3,BOOK-3,P8,KN-B2-P8-027,恢复窗口如何出现,book-2-p8-27-recovery-window,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
268,BATCH-015,4,BOOK-3,P8,KN-B2-P8-028,系统如何重新整合,book-2-p8-28-reintegration,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
269,BATCH-015,5,BOOK-3,P8,KN-B2-P8-029,系统如何重新进入运行,book-2-p8-29-runtime-re-entry,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
270,BATCH-015,6,BOOK-3,P8,KN-B2-P8-030,恢复如何被排程,book-2-p8-30-recovery-scheduling,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
271,BATCH-015,7,BOOK-3,P8,KN-B2-P8-031,恢复债务如何形成,book-2-p8-31-recovery-debt,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
272,BATCH-015,8,BOOK-3,P8,KN-B2-P8-032,结构如何被修复,book-2-p8-32-structural-repair,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
273,BATCH-015,9,BOOK-3,P8,KN-B2-P8-033,运行如何重新平衡,book-2-p8-33-runtime-rebalancing,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
274,BATCH-015,10,BOOK-3,P8,KN-B2-P8-034,恢复架构如何形成,book-2-p8-34-recovery-architecture,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
275,BATCH-015,11,BOOK-3,P8,KN-B2-P8-035,神经系统如何恢复,book-2-p8-35-nervous-recovery,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
276,BATCH-015,12,BOOK-3,P8,KN-B2-P8-036,内分泌系统如何恢复,book-2-p8-36-endocrine-recovery,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
277,BATCH-015,13,BOOK-3,P8,KN-B2-P8-037,免疫系统如何恢复,book-2-p8-37-immune-recovery,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
278,BATCH-015,14,BOOK-3,P8,KN-B2-P8-038,代谢系统如何恢复,book-2-p8-38-metabolic-recovery,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
279,BATCH-015,15,BOOK-3,P8,KN-B2-P8-039,心理运行如何恢复,book-2-p8-39-psychological-recovery,planned,UNPUBLISHED,MANUSCRIPT_CORPUS_NOT_AVAILABLE_IN_CURRENT_INPUT
