"序号","分类","R2 object key","公开图片链接","用途","原登记页面","检查状态","实际显示页面","引用文件"
"47","知识与报告图示","images/figures/journey/PHIOS-FIGURE-REALITY-NAVIGATION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/journey/PHIOS-FIGURE-REALITY-NAVIGATION-v1.svg","Reality Navigation","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"48","知识与报告图示","images/figures/journey/PHIOS-FIGURE-REALITY-READING-MAP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/journey/PHIOS-FIGURE-REALITY-READING-MAP-v1.svg","Reality Reading Map","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"49","知识与报告图示","images/figures/journey/PHIOS-FIGURE-REALITY-RECONSTRUCTION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/journey/PHIOS-FIGURE-REALITY-RECONSTRUCTION-v1.svg","Reality Reconstruction","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"50","知识与报告图示","images/figures/journey/PHIOS-FIGURE-REALITY-REVIEW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/journey/PHIOS-FIGURE-REALITY-REVIEW-v1.svg","Reality Review","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"51","知识与报告图示","images/figures/personal/PHIOS-FIGURE-BIRTH-INPUT-ARCHITECTURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-BIRTH-INPUT-ARCHITECTURE-v1.svg","Birth Input Architecture","/perspectives/","DISPLAYED_CONDITIONALLY","/perspectives/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"52","知识与报告图示","images/figures/personal/PHIOS-FIGURE-CALCULATION-PROJECTION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-CALCULATION-PROJECTION-v1.svg","Calculation → Projection","/perspectives/","DISPLAYED_CONDITIONALLY","/perspectives/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"53","知识与报告图示","images/figures/personal/PHIOS-FIGURE-INPUT-METHOD-CALCULATION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-INPUT-METHOD-CALCULATION-v1.svg","Input → Method → Calculation","/perspectives/","DISPLAYED_CONDITIONALLY","/perspectives/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"54","知识与报告图示","images/figures/personal/PHIOS-FIGURE-KNOWN-UNKNOWN-INTERPRETATION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-KNOWN-UNKNOWN-INTERPRETATION-v1.svg","Known / Unknown / Interpretation","/perspectives/","DISPLAYED_CONDITIONALLY","/perspectives/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"55","知识与报告图示","images/figures/personal/PHIOS-FIGURE-PERSONAL-CONTINUITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-PERSONAL-CONTINUITY-v1.svg","Personal Continuity","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"56","知识与报告图示","images/figures/personal/PHIOS-FIGURE-PERSONAL-REALITY-MAP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-PERSONAL-REALITY-MAP-v1.svg","Personal Reality Map","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"57","知识与报告图示","images/figures/personal/PHIOS-FIGURE-SAVED-REALITY-JOURNEY-STATE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/personal/PHIOS-FIGURE-SAVED-REALITY-JOURNEY-STATE-v1.svg","Saved Reality / Journey State","/reality/","DISPLAYED_CONDITIONALLY","/reality/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"58","知识与报告图示","images/figures/professional/PHIOS-FIGURE-APPROVAL-FLOW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-APPROVAL-FLOW-v1.svg","Approval Flow","/professional-appointments.html","LEGACY_ROUTE_ONLY","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"59","知识与报告图示","images/figures/professional/PHIOS-FIGURE-CONSENT-SHARING-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-CONSENT-SHARING-v1.svg","Consent and Sharing","/professional-consent-sharing.html","DISPLAYED_ON_ACTIVE_SURFACE","/professional-consent-sharing.html","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"60","知识与报告图示","images/figures/professional/PHIOS-FIGURE-EVIDENCE-INTERPRETATION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-EVIDENCE-INTERPRETATION-v1.svg","Evidence → Interpretation","/external-reader-intake.html","DISPLAYED_ON_ACTIVE_SURFACE","/external-reader-intake.html | /professional-workspace.html","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"61","知识与报告图示","images/figures/professional/PHIOS-FIGURE-OUTCOME-REVIEW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-OUTCOME-REVIEW-v1.svg","Outcome Review","/professional-reports.html","LEGACY_ROUTE_ONLY","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"62","知识与报告图示","images/figures/professional/PHIOS-FIGURE-PRIVACY-DATA-BOUNDARY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-PRIVACY-DATA-BOUNDARY-v1.svg","Privacy / Data Boundary","/privacy.html","DISPLAYED_ON_ACTIVE_SURFACE","/privacy.html","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"63","知识与报告图示","images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-ACTION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-ACTION-v1.svg","Professional Action","/professional/","DISPLAYED_CONDITIONALLY","/professional/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"64","知识与报告图示","images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-GUIDANCE-FULL-FLOW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-GUIDANCE-FULL-FLOW-v1.svg","Professional Guidance Full Flow","/professional-workspace.html","DISPLAYED_ON_ACTIVE_SURFACE","/professional-workspace.html","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"65","知识与报告图示","images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-JUDGMENT-BOUNDARY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-PROFESSIONAL-JUDGMENT-BOUNDARY-v1.svg","Professional Judgment Boundary","/professional/","DISPLAYED_CONDITIONALLY","/professional/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"66","知识与报告图示","images/figures/professional/PHIOS-FIGURE-PROVENANCE-LINEAGE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-PROVENANCE-LINEAGE-v1.svg","Provenance / Lineage","/professional/","DISPLAYED_CONDITIONALLY","/professional/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"67","知识与报告图示","images/figures/professional/PHIOS-FIGURE-UNCERTAINTY-BOUNDARY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/professional/PHIOS-FIGURE-UNCERTAINTY-BOUNDARY-v1.svg","Uncertainty Boundary","/professional/","DISPLAYED_CONDITIONALLY","/professional/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"68","知识与报告图示","images/figures/thesis/from-intelligence-to-reality-navigation-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/from-intelligence-to-reality-navigation-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"69","知识与报告图示","images/figures/thesis/phios-runtime-architecture-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/phios-runtime-architecture-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"70","知识与报告图示","images/figures/thesis/reality-ecosystem-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/reality-ecosystem-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"71","知识与报告图示","images/figures/thesis/reality-navigation-economy-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/reality-navigation-economy-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"72","知识与报告图示","images/figures/thesis/reality-navigation-infrastructure-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/reality-navigation-infrastructure-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"73","知识与报告图示","images/figures/thesis/reality-navigation-thesis-overview-en-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/reality-navigation-thesis-overview-en-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"74","知识与报告图示","images/figures/thesis/reality-navigation-thesis-overview-zh-hans-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/thesis/reality-navigation-thesis-overview-zh-hans-v1.webp","Public editorial illustration; not a new knowledge claim.","","HISTORICAL_REGISTRY_ONLY","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"75","主视觉","images/hero/PHIOS-HERO-ACADEMY-v1.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/hero/PHIOS-HERO-ACADEMY-v1.webp","Reusable production hero for Reality Academy surfaces.","/academy.html","LEGACY_ROUTE_ONLY","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
